year,ahe,bachelor,female,age
1992,11.188811,1,0,29
1992,10,1,0,33
1992,5.7692308,0,0,30
1992,1.5625,0,0,32
1992,14.957265,1,0,31
1992,8.6600962,1,1,26
1992,7.7884617,0,1,31
1992,17.788462,0,0,33
1992,11.057693,0,0,29
1992,12.079327,0,0,30
1992,14.423077,1,0,30
1992,7.9326925,1,1,30
1992,13.736263,1,1,34
1992,7.2115383,0,1,26
1992,23.557692,1,0,29
1992,9.1575089,1,0,31
1992,11.694386,0,1,34
1992,6.7307692,0,0,32
1992,12.5,0,0,30
1992,8.6538458,0,1,28
1992,11.778846,0,0,26
1992,3.9903846,0,1,31
1992,19.200001,0,0,34
1992,10.965812,0,1,29
1992,6.0096154,1,0,31
1992,1.8939394,0,0,31
1992,7.2115383,0,1,34
1992,15.666667,0,0,30
1992,5.0961537,1,1,25
1992,12.129684,1,1,28
1992,12.475346,1,0,25
1992,9.6153851,0,0,34
1992,12.237762,0,0,30
1992,14.56213,1,1,28
1992,7.6754384,0,0,32
1992,9.943182,0,1,31
1992,17.403847,1,0,33
1992,8.4319525,1,0,31
1992,10.769231,1,1,30
1992,10.096154,0,0,29
1992,6.3736262,0,1,31
1992,10.769231,0,0,33
1992,7.3469386,0,0,30
1992,10.489511,0,0,32
1992,11.538462,0,1,34
1992,3.6057692,0,1,33
1992,7.6923075,0,1,25
1992,5.5668015,0,1,27
1992,9.7902098,0,0,27
1992,8.1730766,0,0,32
1992,7.6923075,0,1,28
1992,13.157895,0,0,34
1992,14.418269,1,0,29
1992,6.1005001,0,0,30
1992,12.909616,0,0,33
1992,15.384615,1,0,31
1992,13.461538,1,0,32
1992,17.094017,1,1,33
1992,7.2115383,0,1,33
1992,8.5470085,0,0,27
1992,7.0406251,0,0,31
1992,17.57452,0,0,29
1992,13.461538,0,0,32
1992,2.3529413,0,1,30
1992,5.5769229,0,0,33
1992,8.0649042,0,1,25
1992,10.683761,0,1,29
1992,6.25,1,1,29
1992,9.0112638,0,0,31
1992,10.823504,0,1,30
1992,9,0,0,29
1992,5.5668015,0,1,27
1992,9.8290596,0,1,27
1992,10.35503,0,0,30
1992,12.522362,1,1,33
1992,13.675214,1,1,28
1992,14.285714,1,0,30
1992,22.448557,1,0,33
1992,16.02564,0,0,30
1992,18.055555,1,0,29
1992,12.5,0,1,33
1992,7.9326925,0,0,25
1992,7.796154,0,1,32
1992,23.076923,1,0,26
1992,19.23077,0,0,32
1992,16.346153,0,0,34
1992,37.179485,1,0,28
1992,18.75,1,1,27
1992,8.1730766,0,0,27
1992,19.23077,1,0,34
1992,12.541806,0,0,30
1992,4.1478128,0,1,30
1992,12.251985,1,0,27
1992,9.6153851,0,0,30
1992,9.1575089,0,0,26
1992,8.6538458,0,0,29
1992,4.8076925,0,1,33
1992,6.4446831,0,1,30
1992,13.199301,0,1,33
1992,14.423077,0,0,33
1992,8.0769234,0,1,29
1992,13.416816,0,0,30
1992,16.826923,1,1,31
1992,13.247863,0,1,34
1992,18.055555,1,0,33
1992,22.596153,1,1,31
1992,19.23077,0,0,28
1992,7.2115383,1,0,30
1992,21.634615,1,0,29
1992,6.4102564,0,0,27
1992,12.8,0,0,33
1992,12.571428,0,1,27
1992,10.989011,0,0,28
1992,9.4017096,0,1,32
1992,11.196154,0,0,32
1992,8.7980766,1,0,28
1992,17.307692,1,0,29
1992,12.237762,0,0,32
1992,32.21154,1,0,31
1992,12.019231,1,0,25
1992,15.865385,1,0,27
1992,11.153846,0,0,33
1992,10.576923,0,0,26
1992,6.7307692,1,1,31
1992,9,0,0,26
1992,9.1346149,0,0,29
1992,4.5,0,1,28
1992,15,0,1,29
1992,9.6153851,1,1,27
1992,5.7692308,0,0,25
1992,17.788462,1,0,31
1992,6.4102564,0,0,26
1992,17.307692,1,0,28
1992,7.2115383,0,1,29
1992,16.001442,1,0,31
1992,14.285714,1,1,25
1992,7.6923075,0,1,34
1992,9.5033655,0,1,33
1992,10.576923,1,0,26
1992,4.8000002,1,0,31
1992,8.75,1,0,26
1992,12.079327,0,0,32
1992,6.060606,0,1,29
1992,14.282478,1,0,32
1992,11.057693,0,1,30
1992,13.461538,0,0,34
1992,7.0850201,0,1,28
1992,6.0096154,0,1,27
1992,10.576923,1,0,29
1992,13.675214,0,0,28
1992,9.6153851,0,1,30
1992,11.057693,0,0,32
1992,4.8076925,0,1,32
1992,7.3717947,1,0,28
1992,11.057693,1,1,26
1992,7.1428571,0,0,29
1992,7.2115383,0,1,28
1992,6.7512274,0,0,28
1992,11.057693,0,0,25
1992,11.965812,1,1,29
1992,18.803419,1,0,32
1992,10.817307,0,0,34
1992,6.25,0,1,32
1992,9.6153851,0,1,33
1992,9.375,0,1,26
1992,12.307693,1,0,27
1992,8.6538458,0,0,28
1992,8.1730766,0,1,26
1992,9.4017096,0,1,34
1992,8.7912092,0,1,32
1992,19.23077,0,0,32
1992,13.942307,0,0,30
1992,7.0406251,0,0,30
1992,10.096154,0,1,31
1992,7.2115383,1,1,25
1992,17.307692,0,0,31
1992,7.5,0,0,31
1992,7.6923075,0,0,27
1992,4.1666665,0,0,26
1992,12.019231,1,1,32
1992,7.0512819,0,0,28
1992,8.333333,0,0,34
1992,8.5470085,0,0,28
1992,4.8076925,0,1,26
1992,36.057693,1,0,32
1992,10.683761,0,0,33
1992,4.8076925,1,1,31
1992,18.75,0,1,32
1992,13.782051,1,0,28
1992,11.446886,0,0,30
1992,8.1730766,0,0,32
1992,21.634615,0,0,34
1992,12.019231,0,0,30
1992,9.7633133,0,0,28
1992,16.826923,1,0,27
1992,5.7754807,0,1,33
1992,11.467308,0,0,32
1992,16.346153,1,0,26
1992,16.826923,1,0,30
1992,12.980769,1,1,32
1992,5.7692308,0,1,27
1992,9.1346149,0,0,33
1992,13.461538,1,1,32
1992,8.0128202,1,0,29
1992,12.5,0,1,34
1992,6.7307692,1,0,34
1992,14.273504,1,0,27
1992,10.683761,0,0,27
1992,9.1346149,0,0,27
1992,19.23077,1,1,25
1992,10.384615,1,0,25
1992,11.057693,0,0,27
1992,16.346153,1,1,26
1992,18.846153,1,0,33
1992,12.5,0,0,26
1992,15.865385,0,0,29
1992,26.682692,1,0,33
1992,18.61298,0,0,29
1992,6.9721155,0,1,31
1992,9.4017096,0,0,27
1992,11.538462,0,0,29
1992,24.038462,1,1,32
1992,6.9230771,0,0,30
1992,11.538462,1,1,34
1992,15.384615,0,0,29
1992,13.333333,0,0,27
1992,4.25,0,1,32
1992,12.980769,0,0,34
1992,9.6153851,0,0,27
1992,11.199039,0,0,27
1992,13.663968,0,1,34
1992,9.6153851,0,1,30
1992,10.82548,0,1,33
1992,19.23077,0,0,30
1992,11.538462,0,0,26
1992,16.826923,0,0,33
1992,13.358173,0,1,33
1992,7,1,1,34
1992,9.6153851,0,0,29
1992,8.4615383,1,0,32
1992,11.538462,0,1,31
1992,11.057693,0,0,33
1992,15.563506,0,0,31
1992,13.55,1,0,33
1992,14.31127,0,0,30
